image_id,image_path,geohash,caption
caption_gt_0001,DEA_VLM_images/ga_ls8c_ard_3-x49y33-2020-patches/ga_ls8c_ard_3-x49y33-2020-r401rkw-2020-01-07-raw.png,r401rkw,"The image shows a predominantly bare surface landscape with extensive brown and tan hues, indicating natural bare surfaces across most areas, especially in the bottom-right and bottom-left. Natural terrestrial vegetation appears as dark green patches mainly in the center, top-left, and top-right, with the largest vegetated concentration in the center and top-left. Cultivated terrestrial vegetation is present in the top-left, suggesting some cropland use, though it is less extensive than bare areas. A notable water body, likely a wetland or shallow lake, is visible in the upper center, characterized by a lighter, irregular patch with some reflective surfaces, covering a moderate area. Artificial surfaces and a small urban area or settlement are present near the center, identifiable by lighter, rectilinear patterns. Faint linear features, possibly road corridors, traverse the scene from the center toward the right and lower sections, linking the artificial area with outlying zones. Vegetation is less dominant overall, with bare surfaces prevailing. Cropland is limited to the top-left and possibly near the center. The overall landscape is arid to semi-arid with scattered vegetation and minimal urban development. A network of faint, intersecting linear tracks or paths connects the circular feature in the lower-right quadrant to the artificial surfaces near the center and several vegetated patches."
caption_gt_0002,DEA_VLM_images/ga_ls8c_ard_3-x49y33-2020-patches/ga_ls8c_ard_3-x49y33-2020-r4005y3-2020-01-07-raw.png,r4005y3,"The image predominantly features cultivated terrestrial vegetation, especially in the central and bottom-left areas, characterized by light brown and tan patches indicating cropland. Natural terrestrial vegetation, appearing as darker greenish-brown regions, is mainly found in the top-right and bottom-right areas, while natural bare surfaces are scattered in the bottom and central parts, adding lighter beige tones. A road corridor runs horizontally across the upper third of the image, connecting artificial and cultivated areas and cutting through natural vegetation. The landscape shows a balance between cropland and natural vegetation, with bare surfaces interspersed, and land use is dominated by agriculture and preserved vegetation. Several narrow tracks or paths branch off from the main road corridor, extending into the cultivated cropland and connecting isolated patches of agricultural fields with the road network. A small bright structure, identified as a building or facility, is visible adjacent to the road corridor in the upper central part of the image."
caption_gt_0003,DEA_VLM_images/ga_ls8c_ard_3-x49y33-2020-patches/ga_ls8c_ard_3-x49y33-2020-r1brrr3-2020-02-17-raw.png,r1brrr3,"The image displays a landscape dominated by a mix of cultivated terrestrial vegetation, natural terrestrial vegetation, and natural bare surfaces, with cultivated fields most prominent in the top-left and patches of natural vegetation in the top-right and bottom-right areas. The center and parts of the bottom-left and bottom-right show extensive bare surfaces, suggesting open land or possible open-pit mining activity. A linear road corridor runs from the bottom center towards the top right, with a secondary road intersecting near the lower right, connecting artificial surfaces that likely represent a small urban area or settlement. The overall color palette is dominated by browns and muted greens, indicating sparse vegetation and dry conditions, with darker patches marking denser natural vegetation and lighter tones showing bare or cultivated ground. Cropland use is evident, but no distinct irrigated field patterns are visible. Artificial surfaces are concentrated near the road intersections, with urban fabric limited in extent. Bare surfaces and cultivated areas together dominate the landscape, with vegetated zones forming irregular patches. The rectangular field in the center is bordered by both natural vegetation and bare surfaces, creating a clear transition zone between cultivated and uncultivated land."
caption_gt_0004,DEA_VLM_images/ga_ls8c_ard_3-x49y33-2020-patches/ga_ls8c_ard_3-x49y33-2020-r1bw762-2020-02-17-raw.png,r1bw762,"The image shows a landscape dominated by cultivated terrestrial vegetation, with large, patchwork fields covering most of the area, especially prominent in the bottom-left, bottom-right, and center. Natural terrestrial vegetation appears mainly in the top-left and top-right, forming irregular dark green patches. A faint river or stream winds through the central area, with its path discernible by a slightly darker, meandering line. Road corridors run diagonally from the top-right to bottom-left and from the top to center, connecting different areas and crossing cropland. The balance of land cover leans heavily toward bare and cultivated surfaces, with natural vegetation forming a secondary but visible component. The overall coloration is a mix of light brown and tan for bare and cropland areas, with dark green hues marking natural vegetation, and some blueish reflections from water bodies. The landscape use is primarily agricultural with scattered natural patches and minor artificial development. A cluster of small, rectangular white structures is visible near the center of the image, indicating a farmstead or agricultural facility."
caption_gt_0005,DEA_VLM_images/ga_ls8c_ard_3-x60y37-2020-patches/ga_ls8c_ard_3-x60y37-2020-r68qcgq-2020-01-22-raw.png,r68qcgq,"The image shows a predominantly bare landscape with extensive natural bare surfaces covering most areas, especially in the center and bottom areas. The top areas also include patches of natural terrestrial vegetation, which appear as small, scattered sections. A river or stream, visible as a dark, winding linear feature, traverses horizontally across the upper part of the image, marking the main water body. A light-colored road corridor runs diagonally from the bottom right corner toward the upper center. The overall color palette is dominated by beige and light brown tones, with some darker hues along the river and sparse vegetation patches. Bare ground is the dominant land cover, with minor contributions from vegetation and artificial surfaces. The road corridor directly connects the cluster of artificial structures to the main river crossing, facilitating access between the settlement and the water body. A small, isolated cluster of rectangular artificial structures is visible near the intersection of the rivers, indicating a settlement or facility."
caption_gt_0006,DEA_VLM_images/ga_ls8c_ard_3-x60y37-2020-patches/ga_ls8c_ard_3-x60y37-2020-r68q2md-2020-01-22-raw.png,r68q2md,"The image predominantly displays natural bare surfaces in light brown and tan hues, with patches of cultivated terrestrial vegetation in all areas. Minor water bodies are scattered and relatively small in area. The landscape is dominated by bare surfaces with scattered vegetated patches, and overall, the scene has a warm, arid appearance with subtle color variation between bare and vegetated zones. Land use is primarily natural with limited cultivation and minimal infrastructure. Several vegetated patches cluster along the edges of the winding dry stream channel, indicating a spatial association between the ephemeral watercourse and localized vegetation growth. A faint, winding linear feature resembling a dry stream channel or ephemeral riverbed meanders through the central part of the image."
caption_gt_0007,DEA_VLM_images/ga_ls8c_ard_3-x60y37-2020-patches/ga_ls8c_ard_3-x60y37-2020-r68jc78-2020-01-06-raw.png,r68jc78,"The image predominantly displays natural bare surfaces in tan and light brown hues, with scattered patches of natural terrestrial vegetation, especially in the top and right areas. A winding river or stream, reflecting darker tones, traverses the bottom-left to bottom-center, accompanied by wetland features with subtle greenish or darker shading. The bottom-left includes some cultivated terrestrial vegetation, but the overall landscape is dominated by bare surfaces. A faint road corridor can be seen, likely intersecting or running parallel to the river. Vegetation is less extensive and patchy, while bare surfaces are the most prominent land cover. The winding river or stream in the bottom left is hydrologically connected to the nearby wetland features, as shown by the gradual transition from the dark river channel to the surrounding saturated and vegetated areas. A distinct oval-shaped depression or basin with darker interior tones is visible near the top center of the image."
caption_gt_0008,DEA_VLM_images/ga_ls8c_ard_3-x60y54-2020-patches/ga_ls8c_ard_3-x60y54-2020-rjq8pye-2020-01-02-raw.png,rjq8pye,"The image shows a landscape dominated by natural terrestrial vegetation, which covers most areas with brownish and green hues. A winding river runs from the top-right toward the bottom-right, curving through the center and forming the most prominent water body. Smaller patches of water and wetland are visible, especially in the top-left and center areas, but they are limited in size. The top-left also includes cultivated terrestrial vegetation, distinguishable by more organized, lighter green patches, and a faint road corridor runs diagonally from the top-left, connecting towards the center. Bare surfaces are minimal, with vegetated land clearly dominant across the image. The overall color palette is a mix of dark greens for vegetation and browns for open land, with the river reflecting shades of blue-green. The landscape use is primarily natural and agricultural. The winding river is intersected by a narrow linear feature, a road or track, crossing it near the bottom right of the image. A small, circular, bright white patch—a water body or bare ground feature—is visible near the upper central part of the image."
caption_gt_0009,DEA_VLM_images/ga_ls8c_ard_3-x29y37-2020-patches/ga_ls8c_ard_3-x29y37-2020-qddr7fb-2020-01-02-raw.png,qddr7fb,"The image displays a landscape dominated by cultivated terrestrial vegetation, particularly in the top-left, top-right, bottom-left, bottom-right, and central areas, with visible patchwork patterns typical of cropland. Numerous water bodies, including several small lakes and ponds of varying sizes (from small clusters to larger patches), are scattered throughout, with the largest concentrations in the left and central regions. A river or stream is discernible, weaving mainly through the center of the image. Natural bare surfaces are present in patches, especially near the water bodies and along field boundaries, showing lighter hues. A road corridor running diagonally from the center toward the top-right, linking cultivated and artificial zones. The overall balance is heavily toward cultivated land, interspersed with bare patches and water bodies, with limited natural vegetation and artificial surfaces. The color palette is dominated by browns and tans from bare and cultivated areas, with interspersed darker and lighter patches from water and bare ground. A cluster of bright white salt crusts or mineral deposits is clearly visible around several water bodies, especially in the left and central portions of the image."
caption_gt_0010,DEA_VLM_images/ga_ls8c_ard_3-x60y33-2020-patches/ga_ls8c_ard_3-x60y33-2020-r60f3hv-2020-01-31-raw.png,r60f3hv,"The image displays a landscape dominated by cultivated terrestrial vegetation, with natural bare surfaces interspersed. A prominent river or stream runs vertically through the center, bordered by darker vegetation, indicating a riparian zone. In the top-right, a circular irrigated field appears dark green, contrasting with the surrounding tan and reddish-brown hues of bare and cultivated land. Additional water bodies are present, though smaller and less distinct than the river. Road corridors are visible as pale linear features, mainly connecting fields and running near the river. The balance of the scene favors cultivated and bare surfaces, with patches of natural vegetation mainly near the river and in the center. The overall coloration is dominated by reddish-brown and tan tones, with dark green in irrigated and riparian zones. The land use is primarily agricultural with supporting water infrastructure. Several fields adjacent to the river show evidence of irrigation channels branching off from the main watercourse, directly linking the agricultural plots to the river for water supply. A large, irregularly shaped dark patch is visible in the lower left quadrant, indicating an area of denser natural vegetation or a forested section that contrasts sharply with the surrounding cultivated and bare fields."
caption_gt_0011,DEA_VLM_images/ga_ls8c_ard_3-x66y41-2020-patches/ga_ls8c_ard_3-x66y41-2020-r77y9fe-2020-03-20-raw.png,r77y9fe,"A river runs from the top-left to the bottom-left, winding through areas dominated by natural terrestrial vegetation, with some cultivated fields nearby. In the bottom-right, there is a mix of artificial surfaces and cultivated land, with a small urban area visible, likely representing urban fabric, and a lighter-toned open pit mine nearby. The center of the image is a patchwork of cropland and natural vegetation, showing various shades of green and brown, indicating both vegetated and bare surfaces. A water body, possibly a pond, is visible in the bottom-right near the urban area. Road corridors are present, with one main road curving from the right edge toward the bottom-right, connecting to the urban area. Vegetation is dominant overall, especially in the top and left areas, while artificial and bare surfaces are more concentrated in the bottom-right. The landscape is mostly green with some brown patches, reflecting the mix of vegetation, cropland, and bare ground. A secondary road branches off from the main curving road in the bottom right, directly linking the urban area to the open pit mine and adjacent cultivated fields. A small cluster of circular agricultural fields, formed by center-pivot irrigation systems, is visible near the bottom center of the image."
